"time" "x" "z" "v.x" "v.z" "d" "speed"
17366400 85547537592.6775 -46686685823.8148 14950.635699365 35583.922896958 97457825860.1235 38597.1122825501
17452800 86792548706.6874 -43589052627.9557 13864.7938581135 36115.0086201282 97123385546.4553 38684.9629230779
17539200 87942650765.0071 -40446990010.1359 12753.8435948036 36612.1482233307 96798082751.9638 38769.9616193756
17625600 88995721473.359 -37263491002.5736 11618.8890764287 37073.9560795797 96482154838.4082 38851.9858277664
17712000 89949737692.3203 -34041666897.7555 10461.1213165537 37499.0813274035 96175830623.369 38930.9152165586
17798400 90802782916.5464 -30784743980.051 9281.81753423638 37886.2140109314 95879329614.3999 39006.6321132824
17884800 91553054677.4084 -27496059723.2637 8082.34002040156 38234.0912948574 95592861245.3347 39079.0219599835
17971200 92198871825.9887 -24179058449.6922 6864.13449396401 38541.5037104878 95316624119.2937 39147.9737740892
18057600 92738681651.4339 -20837286449.8424 5628.72793369806 38807.3013857186 95050805262.4426 39213.3806116431
18144000 93171066788.9675 -17474386566.3269 4377.72587695965 39030.4002094136 94795579393.048 39275.1400298051
18230400 93494751871.3325 -14094092249.8437 3112.80918158675 39209.7878786345 94551108210.4759 39333.1545453512
18316800 93708609877.317 -10700221099.6397 1835.73025286375 39344.5297757297 94317539708.7963 39387.3320857679
18403200 93811668131.4388 -7296667905.47773 548.308743318742 39433.7746215306 94095007519.6662 39437.5864294416
18489600 93803113909.7947 -3887397212.77735 -747.5732607897 39476.7598508662 93883630289.1182 39483.8376314057
18576000 93682299608.5527 -476435437.226121 -2049.97654623875 39472.8166573392 93683511092.7877 39526.0124311072
18662400 93448747432.9089 2932137440.27388 -3356.91054662751 39421.3746551485 93494736893.3046 39564.0446380251
18748800 93102153566.9356 6334196565.26754 -4666.33955316949 39321.9661087689 93317378043.5815 39597.8754920594
18835200 92642391795.6021 9725581241.37667 -5976.18931606347 39174.2296900257 93151487846.907 39627.4540003307
18921600 92069516538.9575 13102104265.3087 -7284.35399928639 38977.913713298 92997102169.3493 39652.7372400472
19008000 91383765263.7071 16459561524.2339 -8588.70344761045 38732.8788075892 92854239102.7053 39673.6906228093
19094400 90585560261.6967 19793741795.4161 -9887.09069969808 38439.100003605 92722898693.8453 39690.2881268353
19180800 89675509765.366 23100436723.2521 -11177.3597131444 38096.6682010603 92603062738.1364 39702.5124920162
19267200 88654408406.1833 26375450920.3844 -12457.3532398044 37705.7910189292 92494694664.6344 39710.3554013865
19353600 87523236965.2059 29614611842.9401 -13724.9205614148 37266.7929574874 92397739385.0931 39713.8175167457
