obs,statenum,casenum,vnumber,pnumber,atmcond,atmcond2,accday,accmon,caseyear,dayofweek,holiday,numfatal,rfun,age,ptype,sex
315,36,135,1,1,10,0,9,4,2011,7,0,1,6,51,1,2
316,36,135,1,2,10,0,9,4,2011,7,0,1,6,16,2,1
317,36,136,1,1,2,0,12,4,2011,3,0,1,2,30,1,1
318,36,137,0,1,1,0,20,1,2011,5,0,1,11,45,6,1
319,36,137,1,1,1,0,20,1,2011,5,0,1,11,34,1,1
320,36,137,2,1,1,0,20,1,2011,5,0,1,11,25,1,1
321,36,138,0,1,1,0,6,4,2011,4,0,1,13,32,6,1
322,36,138,0,2,1,0,6,4,2011,4,0,1,13,32,6,1
323,36,138,1,1,1,0,6,4,2011,4,0,1,13,999,1,9
324,36,139,1,1,1,0,24,1,2011,2,0,1,13,24,1,2
325,36,139,2,1,1,0,24,1,2011,2,0,1,13,29,1,2
326,36,140,0,1,1,0,3,1,2011,2,0,1,16,53,5,1
327,36,140,1,1,1,0,3,1,2011,2,0,1,16,38,1,1
328,36,141,0,1,2,0,7,3,2011,2,0,1,14,23,5,2
329,36,141,0,2,2,0,7,3,2011,2,0,1,14,25,5,1
330,36,141,1,1,2,0,7,3,2011,2,0,1,14,22,1,1
331,36,142,1,1,4,0,9,3,2011,4,0,1,6,24,1,1
332,36,142,2,1,4,0,9,3,2011,4,0,1,6,32,1,1
333,36,143,0,1,1,0,19,3,2011,7,0,1,16,38,6,1
334,36,143,1,1,1,0,19,3,2011,7,0,1,16,19,1,1
335,36,144,0,1,1,0,7,4,2011,5,0,1,16,57,5,2
336,36,144,1,1,1,0,7,4,2011,5,0,1,16,45,1,1
337,36,145,1,1,1,0,27,3,2011,1,0,1,2,52,1,1
338,36,146,1,1,10,0,7,4,2011,5,0,1,6,55,1,1
339,36,147,1,1,1,0,4,3,2011,6,0,1,16,37,1,2
340,36,147,1,2,1,0,4,3,2011,6,0,1,16,5,2,1
341,36,147,1,3,1,0,4,3,2011,6,0,1,16,3,2,1
342,36,147,2,1,1,0,4,3,2011,6,0,1,16,26,1,2
343,36,148,1,1,4,0,23,3,2011,4,0,1,6,26,1,1
344,36,148,2,1,4,0,23,3,2011,4,0,1,6,46,1,1
345,36,149,1,1,1,0,12,3,2011,7,0,15,11,40,1,1
346,36,149,1,2,1,0,12,3,2011,7,0,15,11,55,2,1
347,36,149,1,3,1,0,12,3,2011,7,0,15,11,61,2,1
348,36,149,1,4,1,0,12,3,2011,7,0,15,11,53,2,2
349,36,149,1,5,1,0,12,3,2011,7,0,15,11,50,2,1
350,36,149,1,6,1,0,12,3,2011,7,0,15,11,81,2,1
351,36,149,1,7,1,0,12,3,2011,7,0,15,11,78,2,2
352,36,149,1,8,1,0,12,3,2011,7,0,15,11,999,2,1
353,36,149,1,9,1,0,12,3,2011,7,0,15,11,999,2,2
354,36,149,1,10,1,0,12,3,2011,7,0,15,11,50,2,1
355,36,149,1,11,1,0,12,3,2011,7,0,15,11,52,2,1
356,36,149,1,12,1,0,12,3,2011,7,0,15,11,62,2,1
357,36,149,1,13,1,0,12,3,2011,7,0,15,11,61,2,2
358,36,149,1,14,1,0,12,3,2011,7,0,15,11,76,2,1
359,36,149,1,15,1,0,12,3,2011,7,0,15,11,76,2,1
360,36,149,1,16,1,0,12,3,2011,7,0,15,11,70,2,1
361,36,149,1,17,1,0,12,3,2011,7,0,15,11,75,2,2
362,36,149,1,18,1,0,12,3,2011,7,0,15,11,65,2,2
363,36,149,1,19,1,0,12,3,2011,7,0,15,11,71,2,2
364,36,149,1,20,1,0,12,3,2011,7,0,15,11,58,2,1
365,36,149,1,21,1,0,12,3,2011,7,0,15,11,55,2,1
366,36,149,1,22,1,0,12,3,2011,7,0,15,11,59,2,1
367,36,149,1,23,1,0,12,3,2011,7,0,15,11,68,2,1
368,36,149,1,24,1,0,12,3,2011,7,0,15,11,43,2,2
369,36,149,1,25,1,0,12,3,2011,7,0,15,11,39,2,1
