station_european_code	component_code	component_name	component_caption	measurement_unit	measurement_european_group_code	statistics_period	statistics_year	statistics_average_group	statistic_shortname	statistic_name	statistic_value	statistics_percentage_valid	statistics_number_valid	statistics_calculated
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1984	hour	P50	50 percentile	39.000	79.429	6977	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1984	hour	Mean	annual mean	41.852	79.429	6977	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1984	hour	P95	95 percentile	87.000	79.429	6977	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1984	hour	P98	98 percentile	97.000	79.429	6977	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1984	hour	Max	maximum	135.000	79.429	6977	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1984	hour	Max19	19th highest value	117.000	79.429	6977	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1984	hour	Hours(c > 200)	hours with c > 200 ug/m3	0.000	79.429	6977	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1985	day	Mean	annual mean	40.370	50.411	184	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1985	day	P50	50 percentile	40.500	50.411	184	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1985	day	P95	95 percentile	57.909	50.411	184	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1985	day	P98	98 percentile	61.500	50.411	184	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1985	day	Max	maximum	73.579	50.411	184	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1985	hour	P50	50 percentile	40.000	50.011	4381	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1985	hour	Mean	annual mean	40.338	50.011	4381	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1985	hour	P95	95 percentile	72.000	50.011	4381	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1985	hour	P98	98 percentile	80.000	50.011	4381	Y
DK0021A	8	Nitrogen dioxide (air)	NO2	µg/m3	100	Calendar year	1985	hour	Max	maximum	137.000	50.011	4381	Y
